databse,algorithm,rand_index,media,desvio_padrao
constraceptive,simple_pass_k_means,0.548432472918327,0.4625903858820782,0.09808769785319403
constraceptive,leader,0.5786023421588594,0.5513838010335086,0.04732464054491106
constraceptive,birch,0.5445085820124561,0.48799574695338294,0.06480882605027538
constraceptive,bok,0.548432472918327,0.4625903858820782,0.09808769785319403
constraceptive,boem,0.4898914150358629,0.5035377289207534,0.03379423020150356
constraceptive,marjorityvoting,0.5626521960506509,0.5214789201356503,0.05704244069477369
german,simple_pass_k_means,0.49978778778778776,0.4997962580098016,0.024081936876492644
german,leader,0.5836336336336336,0.5962003570103803,0.03303677462056738
german,birch,0.5566786786786787,0.5739359120690648,0.03054672618337795
german,bok,0.49978778778778776,0.4999112493909694,0.023984169811119352
german,boem,0.5836336336336336,0.5961020322958791,0.03339057624975113
german,marjorityvoting,0.5695075075075076,0.5904037683798826,0.0385904788542163
optic,simple_pass_k_means,0.8198358358358359,0.644952533477787,0.2275502178735716
optic,leader,0.8954034034034034,0.8780585437180122,0.05523282400385894
optic,birch,0.8473113113113113,0.7991085041830481,0.13154199807736577
optic,bok,0.8509049049049049,0.6966253819890568,0.24936038568840319
optic,boem,0.4277397397397397,0.6137427926336612,0.20177414970391588
optic,marjorityvoting,0.8807567567567568,0.8559050098490868,0.06404452119683274
pageblocks,simple_pass_k_means,0.3137929634366689,0.3187469641352925,0.031967118093061034
pageblocks,leader,0.8163734141981422,0.8051785983875088,0.0469983219301233
pageblocks,birch,0.8147458069010763,0.8028594745958899,0.04779615997514204
pageblocks,bok,0.3137929634366689,0.3187469641352925,0.031967118093061034
pageblocks,boem,0.8160698906807795,0.802706644356803,0.04830202401330518
pageblocks,marjorityvoting,0.8151908411628377,0.8039309165471572,0.047468107840497646
satellite,simple_pass_k_means,0.7216743605926074,0.6821718149566383,0.06670153485527713
satellite,leader,0.7100126827201741,0.7434645347727801,0.04119836505939222
satellite,birch,0.6922464887028145,0.6715632387492885,0.05919992801182212
satellite,bok,0.7216756165466144,0.6821709405054659,0.066703016025354
satellite,boem,0.6148802049330492,0.6329078622869798,0.024462835899101792
satellite,marjorityvoting,0.7002206373048773,0.7206903274393998,0.035339353278148265
magic,simple_pass_k_means,0.49997371602883806,0.499760157490236,0.0056897671183504875
magic,leader,0.5468244246759937,0.8946390912820683,0.1614893789698765
magic,birch,0.5160649633171632,0.5696852582261573,0.02930215160349459
magic,bok,0.49997371602883806,0.499760157490236,0.0056897671183504875
magic,boem,0.5171581918551867,0.5693528689584457,0.028286742517578865
magic,marjorityvoting,0.5299633179925393,0.6973154743621738,0.0780011519685353
yeast,simple_pass_k_means,0.7217930798828774,0.7187442171139845,0.03242252068577334
yeast,leader,0.5978911036672586,0.5748249479422739,0.05332255752879359
yeast,birch,0.5909598995261662,0.5420107123983148,0.06607672707888446
yeast,bok,0.7217930798828774,0.7187442171139845,0.03242252068577334
yeast,boem,0.5247913005072765,0.5258470504216882,0.03210447546984719
yeast,marjorityvoting,0.5945595454685901,0.5700587357662896,0.05296840916498483
